,title,wine,vintage,vinyard,variety,avi,region,state,alcohol_content,size,winetype,price,score,dt_published,taster
0,Lucia 2017 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),Lucia,2017,Garys' Vineyard,Pinot Noir,Santa Lucia Highlands, Central Coast, California,14.2%,750 ml,Red,$65,97,6/1/2019,Matt Kettmann
1,Laetitia 2016 La Coupelle Pinot Noir (Arroyo Grande Valley),Laetitia,2016,La Coupelle,Pinot Noir,Arroyo Grande Valley, Central Coast, California,14.3%,750 ml,Red,$62,96,6/1/2019,Matt Kettmann
2,Lucia 2017 Soberanes Vineyard Pinot Noir (Santa Lucia Highlands),Lucia,2017,Soberanes Vineyard,Pinot Noir,Santa Lucia Highlands, Central Coast, California,14.3%,750 ml,Red,$65,96,6/1/2019,Matt Kettmann
3,Gary Farrell 2016 Rochioli-Allen Vineyards Pinot Noir (Russian River Valley),Gary Farrell,2016,Rochioli-Allen Vineyards,Pinot Noir,Russian River Valley, Sonoma, California,14.1%,750 ml,Red,$80,96,6/1/2019,Virginie Boone
4,Gary Farrell 2016 Lancel Creek Vineyard Pinot Noir (Russian River Valley),Gary Farrell,2016,Lancel Creek Vineyard,Pinot Noir,Russian River Valley, Sonoma, California,13.9%,750 ml,Red,$60,96,6/1/2019,Virginie Boone
5,Laetitia 2016 Les Galets Pinot Noir (Arroyo Grande Valley),Laetitia,2016,Les Galets,Pinot Noir,Arroyo Grande Valley, Central Coast, California,14.2%,750 ml,Red,$62,96,6/1/2019,Matt Kettmann
6,Carlisle 2016 Piner-Olivet Ranches Zinfandel (Russian River Valley),Carlisle,2016,Piner-Olivet Ranches,Zinfandel,Russian River Valley, Sonoma, California,15%,750 ml,Red,$40,96,6/1/2019,Virginie Boone
7,Cobb 2016 Diane Cobb Coastlands Vineyard Pinot Noir (Sonoma Coast),Cobb,2016,Diane Cobb Coastlands Vineyard,Pinot Noir,Sonoma Coast, Sonoma, California,13.6%,750 ml,Red,$120,96,6/1/2019,Virginie Boone
8,Styring 2015 Wit Reserve Estate Pinot Noir (Ribbon Ridge),Styring,2015,Wit Reserve Estate,Pinot Noir,Ribbon Ridge, Willamette Valley, Oregon,15%,750 ml,Red,$65,96,6/1/2019,Paul Gregutt
9,Freeman 2016 Yu-Ki Estate Pinot Noir (Sonoma Coast),Freeman,2016,Yu-Ki Estate,Pinot Noir,Sonoma Coast, Sonoma, California,14.1%,750 ml,Red,$68,95,6/1/2019,Jim Gordon
10,Mueller 2016 Estate Cabernet Sauvignon (Diamond Mountain District),Mueller,2016,Estate,Cabernet Sauvignon,Diamond Mountain District, Napa, California,14.5%,750 ml,Red,$100,95,6/1/2019,Virginie Boone
11,Ponzi 2016 Abetina 2 Vineyard Pinot Noir (Chehalem Mountains),Ponzi,2016,Abetina 2 Vineyard,Pinot Noir,Chehalem Mountains, Willamette Valley, Oregon,14.2%,750 ml,Red,$110,95,6/1/2019,Paul Gregutt
12,Wallis Family Estate 2016 Seraphim Cabernet Sauvignon (Diamond Mountain District),Wallis Family Estate,2016,Seraphim,Cabernet Sauvignon,Diamond Mountain District, Napa, California,14.7%,750 ml,Red,$175,95,6/1/2019,Virginie Boone
13,The Debate 2015 Beckstoffer Missouri Hopper Cabernet Sauvignon (Napa Valley),The Debate,2015,Beckstoffer Missouri Hopper,Cabernet Sauvignon,Napa Valley, Napa, California,14.5%,750 ml,Red,$200,95,6/1/2019,Virginie Boone
14,Whitcraft 2017 Shokrian Vineyard Pinot Noir (Santa Barbara County),Whitcraft,2017,Shokrian Vineyard,Pinot Noir,Santa Barbara County, Central Coast, California,12.95%,750 ml,Red,$65,95,6/1/2019,Matt Kettmann
15,Anaba 2016 Sangiacomo Roberts Road Vineyard Pinot Noir (Petaluma Gap),Anaba,2016,Sangiacomo Roberts Road Vineyard,Pinot Noir,Petaluma Gap, Sonoma, California,14.1%,750 ml,Red,$56,95,6/1/2019,Virginie Boone
16,Cobb 2016 Rice-Spivak Vineyard Pinot Noir (Sonoma Coast),Cobb,2016,Rice-Spivak Vineyard,Pinot Noir,Sonoma Coast, Sonoma, California,13.6%,750 ml,Red,$75,95,6/1/2019,Virginie Boone
17,Heitz 2013 Trailside Vineyard Cabernet Sauvignon (Napa Valley),Heitz,2013,Trailside Vineyard,Cabernet Sauvignon,Napa Valley, Napa, California,14.5%,750 ml,Red,$95,95,6/1/2019,Virginie Boone
18,Stolo 2017 Estate Syrah (San Luis Obispo County),Stolo,2017,Estate,Syrah,San Luis Obispo County, Central Coast, California,12.9%,750 ml,Red,$46,95,6/1/2019,Matt Kettmann
19,Stone The Crows 2016 Three Twins Vineyard Cabernet Sauvignon (Napa Valley),Stone The Crows,2016,Three Twins Vineyard,Cabernet Sauvignon,Napa Valley, Napa, California,14.8%,750 ml,Red,$110,95,6/1/2019,Virginie Boone
